,Выгрузка банкетов за март 2026,,,,,,,,,,
,Hello Park Селигерская,,,,,,,,,,
,,,,,,,,,,,
,,Резюме,Сумма,% от продаж,Кол-во,% от кол-ва,Комментарии,,,,
,,Общие ,2 504 938,100%,47,100%,,,,,
,,Анимация,202 412,8%,22,47%,,,,,
,,Билеты,315 619,13%,,,,,,,
,,Блюда и напитки,673 837,27%,,,,,,,
,,Праздники прочее,45 750,2%,,,"Продление пати-рума, пиньята, фонтан, шары, выбор костюма",,,,
,,Пакет ДР,1 011 800,40%,22,47%,"Всего 22 пакета (базовый 8, премиум 13, эксклюзив 1), остальные ДР заказываются как банкеты в ресторане",,,,
,,Оператор,3 000,0%,,,,,,,
,,Товары касса,15 460,1%,,,,,,,
,,Торт,108 960,4%,13,28%,,,,,
,,Фотоуслуги ,128 100,5%,19,40%,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Номер строки,Номер чека,Блюдо,Банкет,Категория блюда,Учетный день,Чеков,"Средняя цена, р.","Сумма без скидки, р.","Сумма скидки, р.","Сумма со скидкой, р.",Количество блюд
74,347,Браслет красный банкетный,Да,Браслет,10.03.2026,1,0,0,0,0,8
75,347,Картофель фри,Да,Гарниры,10.03.2026,1,320,640,0,640,2
76,347,Лимонад клубничный 1 л,Да,Холодные напитки,10.03.2026,1,550,550,0,550,1
77,347,Мороженое Бабл Гам,Да,Десерты,10.03.2026,1,150,150,0,150,1
78,347,Мороженое клубничное,Да,Десерты,10.03.2026,1,150,300,0,300,2
79,347,Мороженое шоколадное,Да,Десерты,10.03.2026,1,150,300,0,300,2
80,347,Морс вишневый 1 л,Да,Холодные напитки,10.03.2026,1,600,600,0,600,1
81,347,Овощной сет,Да,На компанию,10.03.2026,1,990,990,0,990,1
82,347,Пицца маргарита,Да,Пицца,10.03.2026,1,650,1 300,0,1 300,2
83,347,Пицца пепперони,Да,Пицца,10.03.2026,1,820,820,0,820,1
84,347,Сок яблочный 1 л,Да,Холодные напитки,10.03.2026,1,620,620,0,620,1
85,347,Фруктовый медвежонок,Да,Детское меню,10.03.2026,1,760,760,0,760,1
86,383,Аква минерали 2 л,Да,Холодные напитки,06.03.2026,1,390,390,0,390,1
87,383,Анимация Мультики Дисней,Да,Анимация,06.03.2026,1,0,0,0,0,1
88,383,Базовый Будни,Да,Праздники,06.03.2026,1,24 900,24 900,0,24 900,1
89,383,Без  газа,Да,Холодные напитки,06.03.2026,1,0,0,0,0,1
90,383,Браслет красный банкетный,Да,Браслет,06.03.2026,1,0,0,0,0,8
91,383,Выбор костюма,Да,Прадники прочее,06.03.2026,1,1 500,1 500,0,1 500,1
92,383,Куриные наггетсы с картошкой фри,Да,Детское меню,06.03.2026,1,540,2 160,0,2 160,4
